Name	On3 Rating	247 Rating	ESPN Rating	Rivals Rating	Position	City	State	Commit Status	Commit Team
Casey Poe	[95]	[92]	[81]	[5.9]	IOL	Lindale	TX	False	False	
Trey'Dez Green	[92]	[92]	[84]	[6.0]	TE	Jackson	LA	True	Lsu Tigers	
Corian Gipson	[94]	[92]	[84]	[5.9]	CB	Lancaster	TX	False	False	
Jeremiah Beaman	[93]	[93]	[83]	[5.9]	DL	Birmingham	AL	True	Alabama Crimson Tide	
Marquise Lightfoot	[94]	[92]	[83]	[5.9]	EDGE	Chicago	IL	True	Miami Hurricanes	
Marcelles Williams	[92]	[94]	[84]	[5.9]	CB	Bellflower	CA	True	Usc Trojans	
Jonathan Daniels	[98]	[89]	[85]	[5.9]	OT	Pensacola	FL	False	False	
Zaquan Patterson	[90]	[93]	[84]	[6.1]	S	Hollywood	FL	False	False	
Dealyn Evans	[91]	[95]	[82]	[5.9]	DL	Longview	TX	True	Texas Am Aggies	
Jamari Howard	[95]	[93]	[83]	[5.8]	CB	Miami	FL	False	False	
Jaylen Heyward	[94]	[91]	[84]	[5.9]	S	Rockledge	FL	True	Georgia Bulldogs	
Dre'lon Miller	[92]	[93]	[84]	[5.9]	WR	Silsbee	TX	True	Texas Am Aggies	
Brady Prieskorn	[93]	[92]	[84]	[5.9]	TE	Rochester	MI	True	Michigan Wolverines	
Wardell Mack	[96]	[90]	[81]	[5.9]	CB	Marrero	LA	False	False	
Kevin Riley	[92]	[93]	[85]	[5.9]	RB	Northport	AL	True	Miami Hurricanes	
Grant Brix	[93]	[92]	[84]	[5.9]	IOL	Logan	IA	False	False	
Nathan Roy	[95]	[91]	[81]	[5.9]	OT	Mukwonago	WI	True	Minnesota Golden Gophers	
Liam Andrews	[94]	[93]	[83]	[5.8]	IOL	Brookline	MA	False	False	
James Peoples	[92]	[93]	[82]	[5.9]	RB	San Antonio	TX	True	Ohio State Buckeyes	
Xavier Jordan	[93]	[93]	[84]	[5.8]	WR	Los Angeles	CA	True	Usc Trojans	
Demello Jones	[92]	[93]	[83]	[5.9]	CB	Swainsboro	GA	True	Georgia Bulldogs	
Jordan Marshall	[93]	[90]	[83]	[6.0]	RB	Cincinnati	OH	True	Michigan Wolverines	
Christian Bentancur	[92]	[93]	[83]	[5.9]	TE	Woodstock	IL	True	Clemson Tigers	
Charleston Collins	[92]	[93]	[82]	[5.9]	DL	Pine Bluff	AR	True	Arkansas Razorbacks	
Peyton Woodyard	[91]	[91]	[84]	[6.1]	S	Bellflower	CA	True	Georgia Bulldogs	
Ernest Willor	[91]	[93]	[86]	[5.9]	DL	Baltimore	MD	False	False	
Ryan Pellum	[91]	[93]	[84]	[5.9]	WR	Long Beach	CA	True	Usc Trojans	
Kyngstonn Viliamu-Asa	[90]	[93]	[82]	[6.0]	LB	Bellflower	CA	False	False	
Aaron Butler	[91]	[93]	[84]	[5.9]	ATH	Calabasas	CA	True	Colorado Buffaloes	
Nigel Smith II	[92]	[92]	[84]	[5.9]	DL	Melissa	TX	False	False	
Dakoda Fields	[92]	[92]	[84]	[5.9]	CB	Gardena	CA	True	Usc Trojans	
Isendre Ahfua	[92]	[92]	[85]	[5.9]	IOL	Seattle	WA	False	False	
Jason Zandamela	[92]	[94]	[83]	[5.8]	IOL	Clearwater	FL	True	Usc Trojans	
Caden Durham	[93]	[91]	[82]	[5.9]	RB	Duncanville	TX	False	False	
Ashton Bethel-Roman	[93]	[93]	[82]	[5.8]	WR	Missouri City	TX	True	Arkansas Razorbacks	
Gekyle Baker	[93]	[93]	[82]	[5.8]	WR	Brownsboro	TX	True	Tcu Horned Frogs	
Ify Obidegwu	[92]	[92]	[83]	[5.9]	CB	Baltimore	MD	True	Oregon Ducks	
Michael Smith	[92]	[94]	[82]	[5.8]	TE	Savannah	GA	True	South Carolina Gamecocks	
Dwight Phillips	[93]	[92]	[85]	[5.8]	RB	Mableton	GA	True	Georgia Bulldogs	
Elijah Brown	[91]	[93]	[81]	[5.9]	QB	Santa Ana	CA	True	Stanford Cardinal	
Jason Brown	[93]	[92]	[84]	[5.8]	RB	Seattle	WA	False	False	
Cai Bates	[91]	[93]	[82]	[5.9]	CB	Orlando	FL	False	False	
Aaron Chiles	[91]	[92]	[85]	[5.9]	LB	Olney	MD	True	Florida Gators	
Jake Merklinger	[92]	[91]	[84]	[5.9]	QB	Savannah	GA	True	Tennessee Volunteers	
Kamron Beavers	[92]	[92]	[82]	[5.9]	DL	Bay Springs	MS	True	Ole Miss Rebels	
Jeremiah McClellan	[91]	[93]	[81]	[5.9]	WR	Saint Louis	MO	False	False	
Chance Robinson	[92]	[92]	[82]	[5.9]	WR	Fort Lauderdale	FL	True	Miami Hurricanes	
Blake Ivy	[93]	[92]	[83]	[5.8]	IOL	League City	TX	False	False	
Weston Davis	[96]	[90]	[79]	[5.9]	OT	Beaumont	TX	True	Texas Am Aggies	
Daniel Calhoun	[90]	[93]	[84]	[5.9]	IOL	Roswell	GA	True	Georgia Bulldogs	
Justin Greene	[92]	[91]	[83]	[5.9]	DL	Lawrenceville	GA	True	Georgia Bulldogs	
Koy Beasley	[93]	[92]	[83]	[5.8]	CB	Cincinnati	OH	True	Purdue Boilermakers	
Chris Cole	[90]	[94]	[84]	[5.9]	LB	Salem	VA	False	False	
Nick Marsh	[92]	[91]	[82]	[5.9]	WR	River Rouge	MI	False	False	
Joseph Phillips	[93]	[92]	[82]	[5.8]	LB	Tuskegee	AL	True	Auburn Tigers	
