2023-7-10 2023-7-11 2023-7-12 2023-7-13 2023-7-14 2023-7-15 2023-7-16 2023-7-18
Aidan Glover	['89', '89', '89', '89', '89', '89', '89', '89']	['86', '86', '86', '86', '86', '86', '86', '86']	['76', '76', '76', '76', '76', '76', '76', '76']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	QB	Collierville	TN	True	Missouri Tigers	
Aidan Lynch	['87', '87', '87', '87', '87', '87', '87', '87']	['87', '87', '87', '87', '87', '87', '87', '87']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	OT	Flanders	NJ	True	Virginia Tech Hokies	
Air Noland	['95', '95', '95', '95', '95', '95', '95', '95']	['95', '95', '95', '95', '95', '95', '95', '95']	['87', '87', '87', '87', '87', '87', '87', '87']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	QB	Fairburn	GA	True	Ohio State Buckeyes	
Alex Foster	['89', '89', '89', '89', '89', '89', '89', '89']	['85', '85', '85', '85', '85', '85', '85', '85']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	DL	Greenville	MS	True	Baylor Bears	
Alex January	['91', '91', '91', '91', '91', '91', '91', '91']	['87', '87', '87', '87', '87', '87', '87', '87']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	DL	Duncanville	TX	True	Texas Longhorns	
Alex Taylor	['89', '89', '89', '89', '89', '89', '89', '89']	['91', '91', '91', '91', '91', '91', '91', '91']	['78', '78', '78', '78', '78', '78', '78', '78']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	WR	Greensboro	NC	False	False	
Allen Bryant	['89', '89', '89', '89', '89', '89', '89', '89']	['85', '85', '85', '85', '85', '85', '85', '85']	['76', '76', '76', '76', '76', '76', '76', '76']	['5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6', '5.6']	CB	Fort Lauderdale	FL	True	Pittsburgh Panthers	
Amare Sanders	['88', '88', '88', '88', '88', '88', '88', '88']	['86', '86', '86', '86', '86', '86', '86', '86']	['-', '-', '-', '-', '-', '-', '-', '-']	['5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7', '5.7']	CB	Miami	FL	False	False	
Amari Jefferson	['93', '93', '93', '93', '93', '93', '93', '93']	['89', '89', '89', '89', '89', '89', '89', '89']	['81', '81', '81', '81', '81', '81', '81', '81']	['5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8', '5.8']	WR	Chattanooga	TN	False	False	
Amaris Williams	['89', '89', '89', '89', '89', '89', '89', '89']	['93', '93', '93', '93', '93', '93', '93', '93']	['81', '81', '81', '81', '81', '81', '81', '81']	['5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9', '5.9']	DL	Clinton	NC	True	Florida Gators	
