Name	On3 Rating	247 Rating	ESPN Rating	Rivals Rating	Position	City	State	Commit Status	Commit Team
Dylan Raiola	98	98	91	6.1	QB	Buford	GA	True	Georgia Bulldogs	
Jeremiah Smith	98	98	90	6.1	WR	Hollywood	FL	True	Ohio State Buckeyes	
Colin Simmons	98	98	90	6.1	EDGE	Duncanville	TX	False	False	
Micah Hudson	98	98	90	6.1	WR	Temple	TX	False	False	
KJ Bolden	98	98	90	6.1	S	Buford	GA	False	False	
Williams Nwaneri	98	98	90	6.0	DL	Lee's Summit	MO	False	False	
Ellis Robinson IV	98	98	91	6.0	CB	New Haven	CT	True	Georgia Bulldogs	
Justin Scott	98	98	86	6.1	DL	Chicago	IL	False	False	
Dylan Stewart	98	98	89	6.0	EDGE	Washington	DC	False	False	
Mike Matthews	96	98	91	6.1	WR	Lilburn	GA	False	False	
David Stone	96	98	91	6.1	DL	Oklahoma City	OK	False	False	
Justin Williams	96	98	90	6.0	LB	Conroe	TX	False	False	
Mylan Graham	97	98	86	6.0	WR	New Haven	IN	True	Ohio State Buckeyes	
Julian Sayin	96	96	90	6.1	QB	Carlsbad	CA	True	Alabama Crimson Tide	
Eddrick Houston	95	98	86	6.1	DL	Buford	GA	False	False	
Sammy Brown	95	98	90	6.0	LB	Jefferson	GA	True	Clemson Tigers	
Jaylen Mbakwe	97	98	91	5.9	ATH	Pinson	AL	True	Alabama Crimson Tide	
Kobe Black	95	98	89	6.0	CB	Waco	TX	False	False	
Charles Lester III	97	96	86	6.0	CB	Venice	FL	False	False	
Dominick McKinley	97	98	87	5.9	DL	Lafayette	LA	False	False	
Landen Thomas	95	98	86	6.0	TE	Moultrie	GA	True	Florida State Seminoles	
Ryan Wingo	93	98	87	6.1	WR	Saint Louis	MO	False	False	
DJ Lagway	96	95	90	6.0	QB	Willis	TX	True	Florida Gators	
Elijah Rushing	95	98	89	5.9	EDGE	Tucson	AZ	False	False	
Cam Coleman	98	98	90	5.7	WR	Phenix City	AL	False	False	
Brandon Baker	96	98	85	5.9	OT	Santa Ana	CA	False	False	
Joshisa Trader	94	95	90	6.1	WR	Miami	FL	False	False	
Jadyn Davis	92	98	86	6.1	QB	Charlotte	NC	True	Michigan Wolverines	
Perry Thompson	95	98	86	5.9	WR	Foley	AL	True	Alabama Crimson Tide	
Terry Bussey	97	98	84	5.8	ATH	Timpson	TX	False	False	
Bryant Wesco	96	98	88	5.8	WR	Midlothian	TX	True	Clemson Tigers	
Xavier Filsaime	95	98	85	5.9	S	McKinney	TX	True	Florida Gators	
Jordan Ross	96	98	88	5.8	EDGE	Birmingham	AL	False	False	
Aydin Breland	94	98	86	5.9	DL	Santa Ana	CA	False	False	
Cam Williams	96	94	86	6.0	WR	Glen Ellyn	IL	True	Notre Dame Fighting Irish	
Kamarion Franklin	91	98	87	6.1	DL	Lake Cormorant	MS	False	False	
Aaron Scott Jr.	97	96	86	5.8	CB	Springfield	OH	False	False	
Demarcus Riddick	95	95	86	5.9	LB	Clanton	AL	True	Georgia Bulldogs	
TJ Capers	93	94	86	6.1	LB	Miami	FL	True	Louisville Cardinals	
Taylor Tatum	95	95	86	5.9	RB	Longview	TX	False	False	
Quinton Martin	93	95	86	6.0	ATH	Belle Vernon	PA	True	Penn State Nittany Lions	
Jordan Seaton	94	93	84	6.0	OT	Washington	DC	False	False	
CJ Carr	91	96	86	6.0	QB	Saline	MI	True	Notre Dame Fighting Irish	
Selman Bridges	94	95	85	5.9	CB	Temple	TX	False	False	
Jerrick Gibson	95	93	87	5.9	RB	Gainesville	FL	False	False	
Ernest Willor	91	96	85	6.0	DL	Baltimore	MD	False	False	
Josiah Thompson	96	94	85	5.8	OT	Dillon	SC	True	South Carolina Gamecocks	
Kam Davis	94	92	86	6.0	RB	Albany	GA	True	Florida State Seminoles	
Jaden Reddell	96	94	85	5.8	TE	Raymore	MO	True	Georgia Bulldogs	
Air Noland	95	95	86	5.8	QB	Fairburn	GA	True	Ohio State Buckeyes	
Kam Pringle	95	91	86	6.0	OT	Dorchester	SC	True	South Carolina Gamecocks	
Myles Graham	91	94	85	6.1	LB	Atlanta	GA	True	Florida Gators	
Guerby Lambert	96	92	85	5.9	OT	West Roxbury	MA	False	False	
Bryce West	94	91	87	6.0	CB	Cleveland	OH	False	False	
Joseph Jonah-Ajonye	95	93	88	5.8	DL	Conroe	TX	False	False	
Zabien Brown	92	95	83	5.9	CB	Santa Ana	CA	False	False	
Benedict Umeh	96	91	84	5.9	DL	Toronto	ON	False	False	
Adarius Hayes	93	93	85	5.9	LB	Largo	FL	True	Florida Gators	
Elijah Brown	91	96	82	5.9	-	Santa Ana	CA	False	False	
Ny Carr	92	92	86	6.0	WR	Moultrie	GA	True	Georgia Bulldogs	
Gatlin Bair	93	96	84	5.8	WR	Burley	ID	False	False	
Trey'Dez Green	92	92	84	6.0	TE	Jackson	LA	True	Lsu Tigers	
Corian Gipson	94	92	84	5.9	CB	Lancaster	TX	False	False	
Zion Kearney	94	92	84	5.9	WR	Missouri City	TX	True	Oklahoma Sooners	
Marquise Lightfoot	94	92	83	5.9	EDGE	Chicago	IL	False	False	
Marcelles Williams	92	94	84	5.9	CB	Bellflower	CA	False	False	
Jonathan Daniels	98	89	85	5.9	OT	Pensacola	FL	False	False	
Jaylen Heyward	94	91	86	5.9	S	Rockledge	FL	True	Georgia Bulldogs	
Caleb Odom	95	93	84	5.8	TE	Carrollton	GA	False	False	
Peyton Woodyard	91	91	86	6.1	S	Bellflower	CA	True	Georgia Bulldogs	
Jason Brown	93	92	84	5.9	RB	Seattle	WA	False	False	
Luke Kromenhoek	95	94	82	5.7	QB	Savannah	GA	True	Florida State Seminoles	
Jake Merklinger	92	93	84	5.9	QB	Savannah	GA	True	Tennessee Volunteers	
Nathaniel Frazier	96	91	84	5.8	RB	Santa Ana	CA	False	False	
Wardell Mack	96	90	81	5.9	CB	Marrero	LA	False	False	
Dre'lon Miller	92	93	84	5.9	WR	Silsbee	TX	False	False	
Liam Andrews	94	93	83	5.8	IOL	Brookline	MA	False	False	
Jamari Howard	95	93	84	5.7	CB	Miami	FL	False	False	
Carter Nelson	93	95	81	5.8	TE	Ainsworth	NE	False	False	
Demello Jones	92	93	83	5.9	CB	Swainsboro	GA	True	Georgia Bulldogs	
Jamonta Waller	89	98	90	5.8	LB	Picayune	MS	False	False	
