Name	On3 Rating	247 Rating	ESPN Rating	Rivals Rating	Position	City	State	Commit Status	Commit Team
Marcus Goree	90	89	78	5.7	S	Cleveland	TN	True	Tennessee Volunteers	
Michael Hawkins	88	88	80	5.9	QB	McKinney	TX	True	Oklahoma Sooners	
Ondre Evans	93	88	79	5.6	CB	Nashville	TN	False	False	
I'marion Stewart	89	89	79	5.8	WR	Chicago	IL	False	False	
Derek Weisskopf	90	91	76	5.6	LB	Williamsburg	IA	True	Iowa Hawkeyes	
Jaxson Jones	89	89	79	5.8	EDGE	Yuma	AZ	True	Oregon Ducks	
Ziron Brown	91	87	-	5.7	OT	Bay Saint Louis	MS	False	False	
Chris Johnson	90	88	-	-	CB	Aledo	TX	False	False	
Earl Kulp	88	90	80	5.8	CB	Fort Lauderdale	FL	False	False	
Eli Bowen	88	90	80	5.8	CB	Denton	TX	False	False	
BJ Gibson	89	89	80	5.8	WR	Rochelle	GA	True	Florida State Seminoles	
Jaylan Hornsby	90	88	80	5.8	WR	Camden	NJ	False	False	
Damarion Witten	88	90	79	5.7	TE	Cleveland	OH	False	False	
Parker Livingstone	87	88	82	5.9	WR	Lucas	TX	False	False	
TyShun White	88	88	79	5.9	CB	Buford	GA	False	False	
Terrance Hibbler	88	87	81	5.9	DL	Lexington	MS	True	Mississippi State Bulldogs	
Dominic Nichols	90	89	79	5.7	EDGE	Ijamsville	MD	False	False	
Luke Williams	89	90	79	5.7	WR	Naperville	IL	False	False	
Duke Watson	90	89	79	5.7	RB	Forsyth	GA	False	False	
Davion Gause	87	88	81	5.9	RB	Hollywood	FL	True	North Carolina Tar Heels	
Kensley Faustin	90	88	78	5.8	S	Naples	FL	False	False	
Devon Baxter	90	88	-	5.8	EDGE	Brandywine	MD	False	False	
Obinna Onwuka	90	88	-	5.8	EDGE	Upper Marlboro	MD	False	False	
Roger Saleapaga	89	89	-	5.8	TE	Orem	UT	False	False	
Jordan Burns	89	89	-	5.8	LB	Atlanta	GA	False	False	
Travis Jackson	89	89	-	5.8	EDGE	Tyler	TX	True	Tcu Horned Frogs	
Caleb Moore	89	89	-	5.8	DL	Hattiesburg	MS	False	False	
Jordan Shipp	89	89	78	5.8	WR	Charlotte	NC	False	False	
William Love	89	88	82	5.8	LB	Camden	NJ	False	False	
Kenyan Kelly	89	90	78	5.7	S	Denison	TX	False	False	
James Randle	89	88	82	5.8	WR	Daytona Beach	FL	False	False	
Gerard Johnson	92	88	-	5.6	EDGE	Virginia Beach	VA	False	False	
Austin Alexander	91	89	80	5.6	CB	Hazel Crest	IL	False	False	
D'antre Robinson	89	86	80	5.9	DL	Orlando	FL	False	False	
A.J. Pugliano	88	90	79	5.8	TE	Medford	OR	True	Oregon Ducks	
Dylan Mesman	89	89	79	5.8	TE	Saline	MI	True	Louisville Cardinals	
Ted Hammond	89	89	79	5.8	DL	Cincinnati	OH	True	Michigan Wolverines	
David Washington	87	90	81	5.8	WR	Las Vegas	NV	False	False	
Terrell Anderson	92	88	79	5.6	WR	Greensboro	NC	False	False	
Jadon Porter	89	90	77	5.7	WR	Lorena	TX	True	Baylor Bears	
Tionne Gray	87	88	80	5.9	DL	Saint Louis	MO	True	Oregon Ducks	
Nathaniel Palmer	90	87	80	5.7	RB	Decatur	TX	False	False	
KJ Jackson	88	90	78	5.8	QB	Montgomery	AL	True	Arkansas Razorbacks	
Makai Saina	89	89	78	5.8	IOL	Arlington	TX	False	False	
Navarro Schunke	90	90	81	5.6	IOL	Brandon	SD	False	False	
Kingston Lopa	89	90	81	5.6	ATH	Sacramento	CA	False	False	
David Eziomume	89	88	79	5.8	RB	Kennesaw	GA	True	Clemson Tigers	
Joshua Lair	89	89	-	-	S	Missouri City	TX	False	False	
Michael Turner	88	90	-	-	WR	River Ridge	LA	False	False	
Cam Pruitt	88	90	-	5.7	LB	Theodore	AL	False	False	
Anelu Lafaele	88	90	-	5.7	EDGE	Honolulu	HI	False	False	
Adam Kissayi	89	89	-	-	EDGE	Palm Bay	FL	False	False	
Isaiah McMorris	89	89	-	5.7	WR	Omaha	NE	False	False	
Dominic Kirks	90	88	-	5.7	DL	Cleveland	OH	False	False	
Anthony Speca	88	89	79	5.8	LB	Pittsburgh	PA	True	Penn State Nittany Lions	
Owen Wafle	88	89	80	5.8	DL	Princeton	NJ	False	False	
Paul Mencke Jr.	92	88	78	5.6	S	Cibolo	TX	False	False	
Rodney Hill	89	88	79	5.8	LB	Palm Coast	FL	False	False	
Leonard Moore	89	88	78	5.8	CB	Round Rock	TX	True	Notre Dame Fighting Irish	
Camdon Frier	88	88	81	5.8	WR	Lake City	FL	True	Florida State Seminoles	
Melvin Laster	88	90	77	5.8	LB	Liberty	MO	True	Unlv Rebels	
Elyjah Thurmon	90	87	-	-	IOL	Hinesville	GA	False	False	
Peyton Waters	-	88	80	5.8	WR	Los Angeles	CA	False	False	
Jake Guarnera	89	89	79	5.7	IOL	Ponte Vedra Beach	FL	True	Michigan Wolverines	
Kaj Sanders	90	88	79	5.7	S	Oradell	NJ	False	False	
Edward Smith	89	89	79	5.7	EDGE	Pearland	TX	False	False	
Kyan McDonald	90	90	80	5.6	CB	Seattle	WA	False	False	
Jack Larsen	88	88	83	5.8	TE	Charlotte	NC	True	Notre Dame Fighting Irish	
Eric Karner	90	88	79	-	TE	Itasca	IL	False	False	
Cam Buffington	89	90	80	5.6	LB	Winfield	IA	True	Iowa Hawkeyes	
Zycarl Lewis	88	88	80	5.8	WR	Tampa	FL	False	False	
Elijah Baesa	88	89	81	5.7	WR	Mesquite	TX	True	Arizona State Sun Devils	
Willis McGahee IV	87	90	79	5.7	LB	Miami	FL	True	Nebraska Cornhuskers	
Omillio Agard	87	87	81	5.9	CB	Philadelphia	PA	False	False	
Gabriel Winowich	87	90	81	5.7	ATH	Detroit	MI	True	Rutgers Scarlet Knights	
Jarvis Boatwright Jr.	89	88	78	5.8	S	Clearwater	FL	True	Usc Trojans	
Jayden Bradford	88	86	81	5.9	QB	Chapin	SC	False	False	
TJ Lindsey	89	88	-	5.8	DL	Bryant	AR	False	False	
Justin Logan	88	89	-	5.8	LB	Marietta	GA	False	False	
Koby Young	89	88	-	5.8	WR	New Orleans	LA	False	False	
Chase Tyler	89	88	-	5.8	WR	Hiram	GA	False	False	
Justin Tauanuu	88	89	-	5.8	OT	Huntington Beach	CA	False	False	
Daniel Freitag	89	88	-	5.8	WR	Minneapolis	MN	False	False	
Devon Jordan	88	89	-	5.8	CB	Tulsa	OK	False	False	
Brayshon Williams	90	86	80	5.8	S	Lakeland	FL	False	False	
Ernest Campbell	90	87	79	5.7	WR	Refugio	TX	False	False	
Jaylen Thompson	88	88	80	5.8	CB	Murfreesboro	TN	True	Michigan State Spartans	
Jaden Allen	87	88	78	5.9	CB	Aledo	TX	True	Arkansas Razorbacks	
Channing Goodwin	87	90	78	5.7	WR	Charlotte	NC	True	Michigan Wolverines	
Jakob Gude	89	89	78	-	S	Fairburn	GA	False	False	
Jason Robinson	88	89	79	5.8	WR	Houston	TX	False	False	
Damani Maxson	89	88	79	5.8	S	Houston	TX	False	False	
Davhon Keys	89	88	79	5.8	LB	Aledo	TX	True	Lsu Tigers	
Malik Blocton	88	89	79	5.8	DL	Pike Road	AL	False	False	
Jamir Benjamin	88	89	80	5.7	CB	West Bloomfield	MI	False	False	
Kayvion Sibley	89	88	80	5.7	RB	Allen	TX	False	False	
Christian Peterson	89	88	80	5.7	S	Atlanta	GA	False	False	
Elijah Newby	89	90	-	5.6	LB	Cheshire	CT	False	False	
Dillon Gresham	91	90	81	5.5	WR	San Jacinto	CA	True	Oregon Ducks	
Yasin Willis	87	88	77	5.9	RB	Montvale	NJ	False	False	
Garrett Sexton	92	87	79	5.6	OT	Hartland	WI	True	Penn State Nittany Lions	
Jah Jah Boyd	88	-	81	-	CB	Philadelphia	PA	False	False	
Isaiah Rubin	86	90	81	5.8	CB	Los Alamitos	CA	False	False	
Hauss Hejny	90	90	79	5.6	QB	Fort Worth	TX	True	Tcu Horned Frogs	
Tovani Mizell	88	88	81	5.8	RB	Fort Lauderdale	FL	False	False	
PJ Woodland	88	88	-	5.8	ATH	Hattiesburg	MS	False	False	
Jacory Barney	89	88	78	5.8	WR	Miami	FL	False	False	
Will Hammond	89	88	78	5.8	QB	Hutto	TX	True	Texas Tech Red Raiders	
Bodie Kahoun	89	88	78	5.8	LB	Roanoke	VA	True	Notre Dame Fighting Irish	
Caden Brown	91	88	-	5.6	EDGE	New York	NY	False	False	
Darrion Dupree	88	88	79	5.8	RB	Chicago	IL	False	False	
D'Mon Marable	89	89	77	-	S	Clinton	TN	True	Purdue Boilermakers	
Daniel Cruz	92	89	80	5.5	IOL	North Richland Hills	TX	False	False	
Jalen Todd	89	87	-	5.8	CB	Southfield	MI	False	False	
Jordan Lockhart	88	88	79	5.8	LB	Bellflower	CA	False	False	
Rob Booker	90	87	77	5.7	TE	Waunakee	WI	True	Wisconsin Badgers	
KJ Duff	90	89	-	5.6	TE	Riverhead	NY	False	False	
Mark Schroller	90	89	79	5.6	OT	Mission Viejo	CA	True	Ucla Bruins	
Solomon Williams	88	89	-	5.7	EDGE	Tampa	FL	False	False	
Robby Martin	88	89	-	5.7	IOL	Huntington	WV	False	False	
Devin Smith	89	88	-	5.7	LB	Brunswick	GA	False	False	
Jameson Riggs	87	90	-	5.7	IOL	Hiram	GA	False	False	
Clinton Richard	89	88	-	5.7	IOL	Hiram	GA	False	False	
Michael Boganowski	89	88	-	5.7	LB	Junction City	KS	False	False	
Marcus Downs	89	88	-	5.7	DL	Taylors	SC	False	False	
CJ Heard	89	87	80	5.8	S	Atlanta	GA	True	Florida State Seminoles	
Trey Owens	88	88	79	5.8	QB	Cypress	TX	True	Texas Longhorns	
Kenny Woseley	88	88	78	5.8	CB	Philadelphia	PA	True	Penn State Nittany Lions	
J'Koby Williams	89	88	79	5.7	RB	Beckville	TX	False	False	
Josiah Davis	88	89	79	5.7	S	Nashville	GA	True	Florida Gators	
Koi Perich	89	90	80	5.6	S	Esko	MN	True	Minnesota Golden Gophers	
Nate Kibble	89	87	81	5.7	IOL	Humble	TX	False	False	
Joshua Smith	88	89	-	-	WR	Crandall	TX	False	False	
Anthony Robinson	88	89	-	-	S	Destrehan	LA	False	False	
Jayden Fortier	88	89	-	-	TE	Tualatin	OR	False	False	
Trajen Greco	89	88	-	-	CB	Hoschton	GA	False	False	
Keyshawn Flowers	89	88	-	-	LB	Severn	MD	False	False	
Red Morgan	89	88	-	-	S	Phenix City	AL	False	False	
Daniel Kaelin	88	89	78	5.7	QB	Bellevue	NE	True	Nebraska Cornhuskers	
Mekhai White	88	89	78	5.7	WR	King George	VA	False	False	
Markeis Barrett Jr.	89	88	78	5.7	WR	Knoxville	TN	False	False	
Rodney Bimage	89	88	78	5.7	CB	Dickinson	TX	False	False	
Karson Hobbs	89	88	78	5.7	CB	Cincinnati	OH	True	Notre Dame Fighting Irish	
Ryan Mack	90	89	77	5.6	S	Fort Lauderdale	FL	False	False	
Cameron Lindsey	88	88	-	5.8	LB	Aliquippa	PA	False	False	
Vosky Howard	89	87	-	5.8	WR	Timpson	TX	False	False	
Ashton Woods	90	86	-	5.8	LB	Marietta	GA	False	False	
D'Angelo Barber	89	87	-	5.8	LB	Pinson	AL	False	False	
